	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-RPGRIP1	PM	I	I	L	I	I	UL	UL
gene-ASPM	I	UL	I	UL	I	I	I	I
gene-LOC122456127	I	I	I	I	I	I	I	I
gene-ARFIP1	I	UL	I	I	I	UL	I	UL
gene-ADPRM	PI	I	I	I	I	I	I	I
gene-HOMER1	I	I	PI	I	I	I	I	I
gene-C24H1orf56	I	I	I	I	I	I	I	I
gene-MTIF3	I	I	I	I	I	I	I	I
gene-TENT5B	I	I	I	I	I	I	I	I
gene-ERCC6	I	I	I	I	I	I	I	I
gene-CROT	I	I	I	I	I	I	I	I
gene-PVALB	I	I	I	I	I	I	I	I
gene-RHOA	I	I	I	I	I	I	I	I
gene-LOC119851029	I	I	I	I	PI	I	I	I
gene-LOC119862647	I	I	I	I	I	I	I	I
gene-APOBEC2	I	I	I	I	I	I	I	I
gene-TMEM11	UL	UL	UL	UL	UL	I	UL	UL
gene-LOC122455713	I	L	PI	I	I	I	L	I
gene-LOC119851860	I	I	I	I	I	I	I	I
gene-RAD51AP2	I	I	I	I	I	I	UL	I
gene-TSPAN7	I	I	I	I	I	I	I	I
gene-WDR6	I	I	I	I	I	I	I	I
gene-GPR88	I	I	I	I	I	I	I	I
gene-LOC119855587	L	L	L	L	UL	L	L	L
gene-HOOK2	PI	I	I	I	PI	I	UL	I
gene-LAMTOR1	I	I	I	I	I	I	I	I
gene-ARFGEF1	I	I	I	I	PI	I	I	I
gene-RSPO3	I	I	I	I	I	I	I	I
gene-DDB1	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119850652	L	L	L	L	L	L	L	L
gene-PDP1	I	I	I	I	I	I	I	I
gene-GP5	L	L	I	L	I	L	L	L
gene-GJD2	I	I	I	I	I	I	I	I
gene-OCA2	I	I	I	I	I	I	I	I
gene-HIC1	UL	I	I	UL	I	I	L	I
gene-MEMO1	I	I	I	I	I	I	I	I
gene-LOC119862057	I	PM	I	I	I	PI	I	PI
gene-LOC119851093	L	I	I	I	I	I	I	I
gene-CRIPT	I	I	I	I	I	I	I	I
gene-LRRC20	UL	UL	I	UL	I	I	UL	I
gene-HSPA8	I	I	I	I	I	I	I	I
gene-TOMM70	I	I	I	I	I	I	UL	I
gene-LOC119860032	I	I	I	L	I	I	I	I
gene-STYXL2	I	I	I	I	I	I	I	I
gene-DUSP11	I	I	I	I	I	I	I	I
gene-LOC119842379	I	I	I	I	I	I	I	I
gene-WSCD1	I	I	I	I	I	I	I	I
gene-LOC119847331	I	I	I	PI	PI	I	I	I
gene-FOXE1	I	M	I	M	I	M	I	I
gene-LOC119851188	I	I	I	I	PI	I	I	I
gene-LOC119841205	UL	I	I	I	PI	L	I	PI
gene-CHST1	I	I	I	I	I	I	UL	I
gene-LOC119855224	I	I	I	I	PI	I	I	PI
gene-LOC122458571	I	UL	I	UL	I	I	UL	UL
gene-BBS2	I	I	I	I	I	I	I	I
gene-FAM8A1	UL	UL	PI	UL	UL	UL	UL	UL
gene-SLC17A8	I	I	I	PI	I	I	I	I
gene-ZNF76	I	I	I	I	I	I	I	I
gene-LRRC70	I	I	I	I	I	I	I	I
gene-MYBBP1A	I	I	I	I	I	I	UL	I
gene-ADGRE5	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC122456862	I	PI	I	I	I	I	I	I
gene-ENTPD7	I	I	I	I	I	I	I	I
gene-SH3D21	I	I	I	I	I	PI	I	I
gene-CARTPT	I	I	I	I	I	I	I	I
gene-E2F2	I	I	I	I	I	I	I	I
gene-LRP1	UL	UL	UL	UL	UL	UL	UL	UL
gene-BCL7C	I	I	PI	I	I	I	I	I
gene-LOC119843825	L	L	M	L	M	L	L	L
gene-PKD2L1	I	UL	I	I	I	I	UL	UL
gene-LOC119857376	I	UL	I	I	I	I	I	I
gene-VSX2	I	I	I	I	I	I	I	I
gene-LOC119854874	I	I	I	I	I	UL	I	I
gene-C3H6orf58	I	I	I	PI	I	I	I	I
gene-LOC119861910	I	I	I	I	UL	I	I	I
gene-FLAD1	I	I	I	I	I	I	UL	I
gene-LOC119848141	I	I	PM	I	PI	I	I	I
gene-LOC119841177	I	I	I	UL	PI	UL	UL	I
gene-AGMO	I	PI	I	I	I	PI	I	I
gene-CDHR3	I	I	I	I	I	I	I	I
gene-LOC119857826	I	L	UL	I	L	I	UL	I
gene-TM9SF2	I	UL	I	I	I	I	UL	I
gene-TMUB1	I	I	I	I	I	I	I	I
gene-LOC119848803	I	I	I	I	UL	I	I	I
gene-LOC122456765	UL	L	I	I	UL	PI	UL	PI
gene-LOC119849862	I	UL	I	I	M	I	I	I
gene-CYTH2	I	PI	PM	I	L	I	I	I
gene-ONECUT2	I	I	I	I	I	I	I	I
gene-SESN2	I	I	I	I	I	I	UL	I
gene-PHLPP1	I	I	I	I	I	PI	I	I
gene-LOC119856659	I	I	I	I	PI	I	I	I
gene-SLC40A1	I	I	I	I	I	I	I	I
gene-FJX1	I	I	I	I	I	I	UL	I
gene-LOC122455414	UL	UL	UL	L	UL	UL	UL	UL
gene-ZNF142	I	I	I	I	I	I	I	I
gene-CHRNB1	PI	PI	PI	I	PI	I	I	I
gene-PBXIP1	UL	I	UL	UL	UL	UL	UL	UL
gene-MOS	I	I	I	I	I	I	I	I
gene-CDKL1	I	I	I	I	I	I	UL	I
gene-LOC119849399	PI	UL	PM	I	I	I	UL	I
gene-WDR83OS	I	I	I	I	I	I	I	I
gene-SLC16A10	I	I	I	I	PI	I	I	I
gene-LOC119850409	I	I	I	I	I	I	UL	I
gene-EGFR	I	I	I	I	I	I	I	I
gene-LOC122457283	L	L	UL	UL	UL	UL	UL	UL
gene-LOC119848315	I	I	I	I	I	I	I	I
gene-LOC119845643	I	I	I	I	I	I	I	I
gene-LONRF2	I	I	I	I	I	I	UL	I
gene-NHLRC4	I	I	I	I	I	I	I	I
gene-KIF6	I	I	I	I	I	I	I	I
gene-LOC119852200	I	I	I	PI	PI	I	UL	I
gene-LOC119857525	I	I	I	I	I	I	I	I
gene-LOC119841074	L	L	L	L	L	L	L	L
gene-LOC122459484	L	L	L	L	L	L	L	L
gene-GPR68	I	I	I	I	I	I	I	I
gene-LOC119847394	L	L	L	L	L	L	L	L
gene-CHKA	I	I	I	I	I	I	UL	I
gene-NPFFR1	I	I	I	PI	I	I	I	I
gene-PKD1	I	I	I	I	I	I	I	I
gene-TNFRSF6B	I	I	I	I	I	I	I	I
gene-GAL3ST3	UL	I	I	I	I	I	L	I
gene-DRD2	I	I	I	I	I	I	I	I
gene-LOC119860117	I	I	I	I	I	I	I	I
gene-AUTS2	PI	PI	I	I	I	I	I	I
gene-NSUN4	I	I	I	I	I	I	I	I
gene-TMEM238L	I	I	I	UL	I	M	I	I
gene-ISCU	I	I	I	PI	PI	I	I	I
gene-PHOSPHO2	I	I	I	I	I	I	I	I
gene-LOC119853938	I	I	I	I	I	I	I	I
gene-KIAA0100	I	PI	UL	I	I	I	UL	UL
gene-LOC119859440	L	UL	L	L	L	L	L	L
gene-RNF185	I	I	I	I	I	I	I	I
gene-GTPBP3	I	I	I	I	I	I	I	I
gene-XBP1	I	I	I	I	I	I	I	I
gene-LOC119851528	L	L	L	L	L	L	L	L
gene-CNR2	I	I	I	I	I	I	I	UL
gene-CRYBG1	I	I	I	I	I	I	I	I
gene-PKIA	I	I	I	I	I	I	I	I
gene-RPL28	PI	I	PI	I	L	I	I	I
gene-FOXN1	I	I	I	I	I	I	I	I
gene-TIMM13	UL	UL	UL	I	UL	M	L	UL
gene-LOC119853264	I	L	I	I	I	I	I	I
gene-HIGD1B	UL	UL	I	UL	I	I	UL	I
gene-SUGP1	I	I	UL	I	I	I	I	I
gene-CTSW	I	PI	I	I	PM	PI	I	PI
gene-APOE	I	I	I	I	I	I	I	I
gene-LOC119859894	M	L	UL	UL	L	L	L	L
gene-LRIF1	I	I	I	I	I	I	I	I
gene-DDX25	I	I	I	I	PI	I	UL	I
gene-MAJIN	I	I	I	UL	I	I	I	I
gene-GPER1	I	I	I	I	I	I	I	I
gene-LOC119844913	L	L	L	L	L	L	L	L
gene-PEBP1	I	UL	I	I	I	I	I	I
gene-SIT1	I	I	I	I	M	I	I	I
gene-RPS10	I	I	I	I	I	I	I	I
gene-NAGS	I	I	PI	I	I	I	I	I
gene-PNO1	I	I	I	I	I	I	I	I
gene-RABGGTA	UL	UL	UL	UL	UL	UL	UL	PI
gene-MCM7	L	I	L	I	I	I	UL	I
gene-DELE1	I	I	I	I	I	UL	I	I
gene-HOXA1	I	I	I	I	I	I	UL	I
gene-METTL24	I	I	I	I	I	PI	I	I
gene-NPY1R	I	I	I	I	I	I	I	I
gene-OTUB1	I	I	I	I	I	I	UL	I
gene-LOC119841796	PI	PI	L	I	PI	PI	UL	PI
gene-LOC119859731	L	L	L	L	L	L	L	L
gene-FOXG1	I	I	I	I	I	I	I	I
gene-ATP6V1E1	I	I	I	I	I	I	I	I
gene-POLD1	UL	PI	UL	UL	UL	M	I	M
gene-GAREM2	I	I	I	I	I	I	I	I
gene-LOC122456682	L	UL	L	L	L	PI	UL	UL
gene-ACE	I	PI	I	I	I	I	UL	I
gene-ITGB3	I	I	I	I	I	I	UL	I
gene-HSP90B1	I	I	I	I	I	I	UL	I
gene-SHOX	I	I	I	I	I	I	I	I
gene-KCND1	PM	PI	PM	I	PI	M	I	M
gene-LOC122459213	I	I	PI	I	I	I	I	I
gene-SS18L2	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119863379	I	I	PI	I	PI	I	L	I
gene-NDUFC1	L	L	L	L	L	L	L	L
gene-ABHD16B	I	UL	I	I	UL	UL	I	I
gene-C27H17orf113	I	I	I	I	I	I	I	I
gene-LOC119857626	I	I	I	I	I	I	I	I
gene-GKN2	I	I	UL	I	UL	I	I	I
gene-RETREG1	I	I	I	I	I	I	I	I
gene-HDAC6	PI	I	PI	I	UL	UL	UL	PI
gene-FXYD3	I	I	I	I	I	I	I	I
gene-HLF	I	I	I	I	I	I	I	I
gene-P3H2	PI	I	I	PI	I	PI	UL	I
gene-YBX3	I	UL	I	I	I	I	I	I
gene-LOC119841808	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119841631	L	L	L	I	I	I	I	I
gene-HDAC4	I	I	I	I	PI	I	UL	I
gene-DUSP7	I	I	I	I	I	I	I	I
gene-IL22RA1	I	I	I	I	I	I	I	I
gene-EEF1B2	I	I	I	I	I	I	I	I
gene-MRPS11	I	I	I	I	PI	I	I	I
gene-SYCE3	I	I	I	PI	I	I	I	I
gene-HGSNAT	I	I	PI	I	I	I	UL	I
gene-AK9	I	UL	PI	I	UL	I	I	I
gene-BPIFA1	M	L	L	UL	M	UL	L	L
gene-CAPN2	I	PI	I	I	I	I	I	I
gene-HIF1AN	I	PI	PI	I	PI	PI	I	I
gene-TEX11	UL	UL	UL	UL	UL	UL	UL	UL
gene-TDO2	UL	UL	I	I	UL	I	UL	I
gene-ZNF319	I	I	I	I	I	I	I	I
gene-LOC119860935	I	I	I	I	I	I	I	I
gene-HAPLN1	I	I	I	I	I	I	I	I
gene-MPHOSPH6	I	PI	PI	PI	PI	PI	I	PI
gene-LOC119848133	UL	UL	UL	I	UL	UL	I	I
gene-ADAMTSL2	I	I	I	I	I	I	I	I
gene-SIMC1	I	I	I	I	I	I	I	I
gene-LOC119861919	I	I	PI	I	I	I	I	I
gene-LOC119856610	I	I	I	I	I	I	I	PI
gene-LOC122455948	L	M	I	L	L	UL	L	M
gene-CDKN1A	I	I	I	I	I	I	I	I
gene-PPARG	I	I	I	I	I	I	I	I
gene-PROK1	I	I	I	I	I	I	I	I
gene-GPR26	I	I	I	I	I	I	I	I
gene-STPG3	I	I	I	PI	I	I	I	I
gene-TCTA	I	I	I	I	I	M	I	UL
gene-LOC119858270	I	I	I	I	I	I	I	I
gene-PBX3	I	I	I	I	I	I	I	I
gene-LOC119858032	I	PI	I	I	I	I	UL	I
gene-FZD1	I	I	I	M	I	I	UL	I
gene-ASCL4	UL	UL	UL	UL	UL	UL	UL	I
gene-SPP2	I	I	I	I	I	I	L	I
gene-RSL1D1	I	I	I	I	I	I	I	I
gene-NDUFV3	I	I	I	I	I	I	I	I
gene-TOPORS	I	I	I	I	I	I	I	I
gene-LIN28B	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119847957	I	I	I	UL	I	I	I	I
gene-TNFRSF18	I	I	I	I	I	I	I	I
gene-NUPR1	M	M	PG	I	PG	I	I	I
gene-LOC119853837	I	UL	I	L	I	I	I	I
gene-LOC119843027	L	PI	UL	L	UL	UL	M	UL
gene-ETAA1	I	I	I	I	I	I	I	I
gene-RAD54L	PI	I	I	I	I	I	I	I
gene-API5	I	I	I	I	I	I	I	I
gene-IDNK	I	UL	I	I	I	I	I	I
gene-LOC119862113	I	M	L	I	I	I	L	M
gene-LOC119855067	I	I	I	I	I	I	I	I
gene-RFT1	I	I	I	I	I	I	I	I
gene-LOC119852321	PI	UL	I	I	I	I	I	I
gene-MPZL3	I	I	I	I	I	I	I	I
gene-LOC119842229	PG	L	M	M	M	I	PG	PG
gene-CRYL1	I	I	I	I	UL	I	I	I
gene-ZBP1	I	I	I	I	I	I	I	I
gene-LOC119859024	L	L	L	L	UL	L	UL	L
gene-LOC119848330	I	I	I	I	I	I	I	I
gene-STK39	I	I	I	I	I	I	UL	I
gene-TALDO1	I	I	I	I	I	I	I	I
gene-TWIST1	I	I	I	M	I	I	I	I
gene-LOC122457435	PI	UL	UL	PI	UL	PI	UL	UL
gene-PCSK7	I	I	I	I	I	I	I	I
gene-LOC119860962	I	I	I	I	I	L	I	L
gene-IYD	I	I	I	I	I	I	I	I
gene-MED9	I	I	I	I	I	I	I	I
gene-TBCC	I	I	I	I	I	I	I	I
gene-ABCB11	I	I	I	I	I	UL	I	I
gene-ARL6IP4	I	I	I	I	I	I	I	I
gene-FNTA	I	I	I	I	I	PI	I	PI
gene-NAA50	I	I	I	I	I	I	I	I
gene-NWD2	I	I	I	I	I	I	I	I
gene-OTOS	I	I	I	I	I	I	I	I
gene-LOC119847409	L	UL	L	UL	PM	L	UL	L
gene-RPP14	I	I	I	I	I	I	I	I
gene-PLPPR2	PM	I	PM	I	M	PI	UL	PI
gene-SNRPD3	I	I	I	I	I	I	I	I
gene-LOC119853305	L	L	L	L	L	L	L	L
gene-TSR1	I	I	I	UL	I	I	I	I
gene-CNIH3	I	I	I	I	PI	I	I	I
gene-LOC122458492	L	L	L	L	L	L	L	L
gene-LOC119842340	M	M	UL	L	M	I	L	L
gene-LOC119847941	PI	I	PI	I	M	I	I	I
gene-SNAPIN	UL	UL	UL	UL	I	UL	L	UL
gene-LOC119860648	I	PI	PI	I	I	UL	UL	I
gene-LOC119861882	I	I	I	I	I	PI	I	I
gene-LOC119856064	I	L	PI	I	L	I	UL	I
gene-GFI1	I	I	I	I	I	I	I	I
gene-KRT18	I	I	I	I	I	I	UL	I
gene-PTCRA	UL	UL	UL	UL	UL	UL	UL	UL
gene-DCTN6	I	I	I	I	I	I	I	I
gene-KCTD16	I	I	I	I	I	I	I	I
gene-YEATS4	I	I	I	I	I	I	I	I
gene-SPA17	I	I	I	I	I	I	I	I
gene-LOC119860520	I	PI	I	PI	I	I	I	UL
gene-LOC119846830	I	I	I	I	I	I	I	I
gene-MOXD1	I	I	I	I	I	I	I	I
gene-VENTX	I	I	I	I	I	I	I	I
gene-HAX1	I	I	PI	I	I	I	I	I
gene-LOC119855021	I	L	I	M	I	M	L	M
gene-LOC119842377	L	M	I	I	I	UL	I	I
gene-MIEF2	I	I	I	I	I	I	UL	I
gene-LOC119842543	I	I	I	I	I	I	I	I
gene-LOC119842514	UL	M	I	L	I	UL	L	I
gene-DOCK6	I	PI	UL	I	I	I	UL	I
gene-TSPAN6	I	I	I	I	I	I	I	I
gene-GALNT8	UL	UL	UL	UL	PI	UL	UL	UL
gene-S100A10	I	I	I	I	I	I	I	I
gene-SYCP2	UL	UL	I	UL	I	I	UL	UL
gene-GPR19	I	I	I	I	I	I	I	I
gene-LOC119846164	I	I	PI	I	I	I	I	I
gene-IQUB	I	I	I	I	I	I	I	I
gene-LOC119845235	L	L	L	L	UL	L	L	L
gene-LOC122457265	M	M	PI	M	M	M	I	PM
gene-DEGS1	I	I	I	I	I	I	I	I
gene-FGFBP1	I	I	I	I	I	I	I	I
gene-NWD1	I	I	I	I	I	I	I	I
gene-LOC119856877	L	L	UL	L	I	L	L	L
gene-LOC122457433	M	I	PI	I	I	PI	UL	I
gene-LOC119854799	L	L	L	L	L	L	L	L
gene-ZNF292	I	I	I	I	I	I	I	I
gene-LOC119844819	L	I	I	I	PI	I	I	I
gene-KCNQ4	I	I	I	I	I	I	I	UL
gene-LOC119861396	UL	L	PI	UL	PI	I	L	I
gene-FILIP1	UL	UL	UL	I	UL	I	I	I
gene-ARAF	M	M	PM	I	PM	I	UL	PI
gene-DUSP10	I	I	I	I	I	I	I	I
gene-LOC119860911	UL	UL	I	UL	UL	UL	UL	UL
gene-LOC119855724	I	I	I	I	I	I	UL	I
gene-LBX2	I	M	M	I	I	I	UL	I
gene-HTRA1	I	I	I	I	I	I	I	I
gene-GDI2	I	I	I	I	I	I	I	I
gene-LOC122456843	L	L	I	L	L	L	L	L
gene-DOLK	I	I	I	I	I	I	I	I
gene-NOP53	PI	I	PI	I	L	I	UL	I
gene-LOC119852576	L	PG	L	PG	UL	L	UL	L
gene-SRGAP3	I	I	I	I	I	I	I	I
gene-LOC119856915	UL	PM	UL	M	I	UL	I	I
gene-NBEA	I	I	UL	I	I	I	I	I
gene-FGF10	I	I	I	I	I	I	I	I
gene-ANO4	I	I	I	UL	PI	UL	I	I
gene-LCOR	I	I	I	I	I	UL	I	I
gene-C1H22orf23	UL	UL	I	UL	I	UL	UL	UL
gene-LOC119841603	M	UL	PI	M	I	L	L	UL
gene-LOC119843818	L	L	UL	UL	UL	UL	UL	UL
gene-ERICH6B	I	I	PI	I	I	UL	UL	I
gene-ARHGEF40	PI	PI	L	I	UL	UL	UL	I
gene-P2RY8	I	I	I	I	I	I	I	I
gene-LOC119858712	L	L	L	L	L	L	L	L
gene-SI	PI	PI	I	I	I	I	UL	I
gene-LOC119856513	PI	UL	I	I	L	I	UL	I
gene-LOC122457356	I	I	I	I	I	I	I	I
gene-LOC119845984	PI	UL	PI	UL	L	PI	UL	UL
gene-ENOX2	I	I	I	I	I	I	UL	I
gene-LOC119848887	I	I	I	I	I	I	I	I
gene-TNFRSF13B	I	I	I	I	I	I	I	I
gene-LOC119849118	I	M	I	I	I	I	L	I
gene-LOC119860414	UL	PI	I	UL	UL	UL	UL	UL
gene-WDR43	I	I	I	I	I	PI	I	I
gene-LOC119841093	I	I	I	I	I	I	I	I
gene-RNF181	PI	I	I	I	I	I	I	I
gene-LOC122460996	I	L	I	I	PM	UL	I	I
gene-HAO1	I	I	I	I	PI	I	I	I
gene-NUFIP1	UL	UL	UL	UL	I	UL	UL	UL
gene-PRPF19	I	I	I	I	I	I	I	I
gene-EGR1	UL	UL	I	I	I	I	I	I
gene-LOC122455417	UL	L	PM	L	PM	UL	I	UL
gene-DTX3L	UL	UL	UL	UL	UL	UL	UL	UL
gene-SLC26A8	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119859648	I	L	UL	L	I	L	UL	L
gene-LOC119861798	L	UL	L	M	L	M	L	L
gene-XRCC2	I	I	I	I	I	I	I	I
gene-ADAMTS12	I	PI	I	I	I	I	I	I
gene-GPR17	I	I	I	I	I	I	I	I
gene-LPAR6	UL	UL	UL	UL	UL	UL	UL	UL
gene-NPPC	PI	I	I	I	I	I	I	I
gene-NIPSNAP3A	I	I	I	I	I	I	I	I
gene-LOC119859427	I	I	I	I	I	I	UL	I
gene-LOC119852128	L	L	L	L	L	L	L	L
gene-TM4SF1	I	I	I	I	I	I	I	I
gene-TMEM129	I	I	PI	PI	PI	I	I	PI
gene-RRAS2	I	I	PI	I	I	PI	I	I
gene-PDS5A	I	I	PI	I	I	I	I	I
gene-VRTN	I	I	I	I	I	UL	I	I
gene-NPR2	PM	UL	PI	I	UL	PI	I	PI
gene-TTC9	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119842579	PM	PI	PI	PI	PI	PI	PI	PI
gene-TMED9	PI	PI	M	I	I	I	UL	I
gene-DLST	I	I	I	I	I	UL	I	I
gene-CCNE1	I	I	I	I	I	I	I	I
gene-PDIA6	I	I	I	I	I	I	I	I
gene-LOC119854593	I	I	PI	I	I	I	I	I
gene-LOC119844298	I	I	I	I	I	I	I	I
gene-LOC122457366	L	L	PM	UL	L	L	L	L
gene-LRRC3C	I	I	I	I	I	I	I	I
gene-RMND5A	I	I	I	I	I	I	I	I
gene-EED	I	I	I	I	I	I	I	I
gene-LOC119848811	PI	I	I	I	I	I	I	I
gene-LDHA	I	I	I	I	I	I	I	I
gene-F2RL1	I	I	I	I	I	I	I	I
gene-LOC119845205	I	I	I	I	I	I	L	I
gene-C15H22orf15	I	I	I	I	I	I	I	I
gene-LONP2	I	I	I	I	I	PI	I	I
gene-PRSS56	UL	UL	PI	UL	UL	UL	UL	UL
gene-ICE2	I	I	I	I	I	I	UL	I
gene-KCNK13	I	I	I	I	I	I	I	I
gene-ATAD3A	I	I	I	I	I	I	I	I
gene-LOC122457243	UL	L	I	UL	I	L	L	L
gene-LOC119851589	L	I	UL	I	I	I	I	I
gene-ISCA2	I	I	I	I	I	I	I	I
gene-LOC119859010	I	I	I	I	I	I	I	I
gene-NDUFA5	UL	UL	UL	UL	UL	UL	UL	UL
gene-DXO	L	UL	PM	L	M	M	L	L
gene-PAH	I	I	I	I	I	I	I	I
gene-CPAMD8	I	I	I	I	I	I	I	I
gene-GPR78	I	I	I	I	I	I	I	I
gene-LOC122456601	I	I	I	L	M	I	UL	I
gene-RFX7	I	I	I	I	I	I	I	I
gene-CDR2L	I	I	I	I	I	I	I	I
gene-CCZ1	I	I	I	I	I	I	I	I
gene-GLRX	I	I	I	I	I	I	I	I
gene-BCL2L12	M	I	L	I	PG	M	UL	I
gene-COL23A1	I	I	I	I	I	I	I	I
gene-LOC119845998	I	I	I	I	I	I	I	I
gene-ST6GALNAC2	I	I	I	I	I	I	I	I
gene-LOC119856113	I	PI	I	I	I	I	I	I
gene-GNAT1	I	I	I	I	I	I	UL	I
gene-SOX18	I	I	I	I	I	I	I	I
gene-P2RY2	I	I	I	I	I	I	I	I
gene-ZFHX3	I	I	I	I	I	UL	I	I
gene-LOC119855449	I	L	I	I	I	I	I	I
gene-MAP2K2	PI	I	I	I	I	I	I	I
gene-TP53RK	I	I	I	PI	I	I	I	I
gene-TMEM88	PI	M	PG	I	UL	PI	I	PI
gene-SOX12	I	I	I	I	I	I	I	I
gene-GABRD	I	I	I	I	I	I	I	I
gene-ERMN	I	I	I	I	I	I	I	I
gene-RND1	I	I	I	I	I	I	I	I
gene-AMHR2	UL	I	UL	UL	I	UL	UL	UL
gene-FMR1NB	I	I	I	I	I	I	I	I
gene-DKC1	I	I	I	I	I	I	UL	I
gene-LOC119856255	L	L	L	L	L	L	UL	L
gene-WDR72	I	I	I	I	I	I	I	I
gene-TKTL1	L	UL	UL	I	M	I	I	I
gene-RIMKLB	I	I	I	I	I	I	I	I
gene-LOC122455857	UL	I	UL	UL	I	UL	L	I
gene-SCNN1A	I	I	I	I	I	PI	I	I
gene-TNNI3	I	PM	L	I	PI	I	I	PI
gene-S100B	I	I	I	I	I	M	I	I
gene-KERA	I	I	I	I	I	I	I	I
gene-PLAAT1	I	I	I	I	I	I	I	M
gene-UBTD1	I	PM	I	I	I	I	I	I
gene-RBM44	UL	I	UL	I	I	UL	UL	UL
gene-LOC119859297	I	I	I	PI	I	I	UL	PI
gene-UFM1	L	L	L	I	L	UL	L	L
gene-WDR44	I	I	I	I	I	I	UL	I
gene-PDXDC1	I	I	I	I	I	I	I	I
gene-LOC119849030	I	PI	I	I	I	I	I	I
gene-NDUFC2	I	I	I	I	I	I	I	I
gene-FBXL16	I	I	I	I	I	I	I	I
gene-PELO	I	I	I	I	I	I	I	I
gene-CRYBB2	I	I	I	I	I	I	I	I
gene-ERC2	I	I	I	PI	I	I	UL	I
gene-CCDC148	I	I	UL	I	I	I	I	I
gene-KLF13	I	I	I	I	I	I	I	I
gene-PLEKHA4	L	I	UL	I	PI	UL	UL	UL
gene-CTTNBP2	I	PI	I	I	I	I	I	I
gene-LOC119859681	I	I	I	I	UL	I	L	I
gene-POLR3F	I	I	I	I	I	I	I	I
gene-LOC119854819	I	I	I	I	I	I	UL	I
gene-GEN1	I	I	I	I	I	I	I	I
gene-ANKRD33	I	I	I	I	I	I	UL	I
gene-DCTD	I	I	I	I	I	I	I	I
gene-CHSY3	I	I	I	I	I	I	I	I
gene-PPP1R11	UL	PI	I	I	PI	PI	I	I
gene-LOC119857369	I	I	I	L	I	L	L	L
gene-LOC119857275	I	L	L	L	I	I	UL	I
gene-LOC119861425	I	I	I	I	I	I	I	I
gene-VWA1	I	I	I	I	I	I	I	I
gene-MSRB2	L	L	L	L	L	L	L	L
gene-MYO1B	I	I	I	I	I	I	I	I
gene-CPLX2	I	I	I	I	I	I	I	I
gene-ESYT1	PI	I	UL	I	UL	PI	I	I
gene-LOC119843047	I	PI	I	I	I	I	I	UL
gene-LOC119844742	I	I	I	I	I	I	I	I
gene-RD3L	I	I	I	I	I	I	I	I
gene-LOC122458165	UL	UL	UL	L	L	L	L	L
gene-UCN3	I	I	I	I	I	I	I	I
gene-SKOR2	I	I	I	I	I	M	UL	I
gene-LOC119861049	PM	I	I	I	I	I	L	I
gene-FLRT1	I	I	I	I	I	I	UL	I
gene-LOC122455833	M	M	M	I	M	M	I	M
gene-GALM	I	I	I	PI	I	I	I	I
gene-LOC119849359	PI	M	PM	I	UL	UL	I	UL
gene-LRP6	UL	UL	PI	I	UL	UL	UL	UL
gene-EPS8L1	L	I	PI	I	PM	PI	UL	UL
gene-LTO1	I	I	I	I	I	I	I	I
gene-DNAH14	I	UL	PI	PI	I	PI	UL	I
gene-MEIS3	I	PI	I	I	I	I	UL	I
gene-CACNG7	I	PI	M	I	I	I	I	I
gene-FANK1	PI	UL	UL	PI	UL	UL	UL	UL
gene-CCR4	I	I	I	I	I	I	I	I
gene-LSM1	I	I	I	I	PI	I	I	I
gene-NDUFS8	I	I	I	I	UL	I	I	I
gene-LOC119863155	L	L	L	L	L	L	L	L
gene-IGSF9B	I	I	I	I	I	I	I	I
gene-LOC119843010	PM	PG	PI	PI	PI	PI	PM	M
gene-LOC119863449	I	I	UL	I	I	I	I	I
gene-YPEL5	I	I	I	I	I	I	I	I
gene-TPI1	I	I	I	I	I	I	I	I
gene-LOC122458493	L	L	L	L	L	L	L	L
gene-LOC119846933	I	L	I	PI	I	L	PI	L
gene-NRIP2	I	I	I	I	I	PI	I	I
gene-TRABD2B	I	PI	I	I	PI	I	I	I
gene-ADAM10	I	I	I	I	I	M	I	I
gene-BMX	I	I	I	I	I	I	I	I
gene-SLC18A3	I	I	I	I	I	I	I	I
gene-LOC119841600	I	I	L	I	PI	PI	I	I
gene-LOC119860880	I	I	I	I	I	I	UL	I
gene-GPR137B	I	I	I	I	I	I	I	I
gene-LOC119855016	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119860810	I	I	I	I	I	I	I	I
gene-FBXO41	I	I	I	I	I	I	I	I
gene-IER2	I	I	I	I	I	M	UL	I
gene-LOC119847606	L	M	L	M	M	L	L	L
gene-LOC119852962	I	I	I	I	PI	I	I	I
gene-N4BP3	I	I	I	I	I	I	I	I
